obj_id,oid,link_bibcode,ra,dec,coo_bibcode,parallax,parallax_err,parallax_bibcode,pmra,pmdec,pm_err,pm_bibcode,radvel,radvel_err,rvz_bibcode,ids,EDR3 id,DR2 id,TIC
NGC 188 1054,303084,2004PASP..116.1012S,11.19125010182,85.25673394068,2020yCat.1350....0G,0.5409,0.01889999955892563,2020yCat.1350....0G,-2.178,-1.099,3.0,2020yCat.1350....0G,-42.18,,2008AJ....135.2264G,Gaia EDR3 573942325217383424|TIC 461601298|2MASS J00444591+8515241|Cl* NGC  188    DGV     624|Cl* NGC  188    PKM    4628|Cl* NGC  188    SMV    6682|NGC   188  1054|Cl* NGC  188    FTS      94|Gaia DR2 573942325217383424,573942325217383424,573942325217383424,461601298
Cl* NGC 188 DGV 1869,303589,2004PASP..116.1012S,9.743203212439997,85.55991645786,2020yCat.1350....0G,0.5191,0.02319999970495701,2020yCat.1350....0G,-2.25,-1.11,3.0,2020yCat.1350....0G,-42.74,,2008AJ....135.2264G,Gaia EDR3 573982010715088256|TIC 461597588|2MASS J00385848+8533357|Cl* NGC  188    DGV    1869|Cl* NGC  188    PKM     690|Cl* NGC  188    SMV    4542|Gaia DR2 573982010715088256,573982010715088256,573982010715088256,461597588
NGC 188 2014,303857,2004PASP..116.1012S,10.977597980730001,85.20511298616,2020yCat.1350....0G,0.4785,0.04039999842643738,2020yCat.1350....0G,-2.368,-1.021,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573935899946338816|TIC 461599220|2MASS J00435461+8512182|Cl* NGC  188    PKM    4365|Cl* NGC  188    SMV    6270|NGC   188  2014|Cl* NGC  188    FTS     567|Gaia DR2 573935899946338816,573935899946338816,573935899946338816,461599220
NGC 188 1152,303904,2004PASP..116.1012S,11.16414545267,85.24285002098,2020yCat.1350....0G,0.6603,0.08529999852180481,2020yCat.1350....0G,-2.111,-1.057,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941942962994176|TIC 461601256|2MASS J00443925+8514339|Cl* NGC  188    PKM    4650|Cl* NGC  188    SMV    6622|NGC   188  1152|Cl* NGC  188    FTS     495|Gaia DR2 573941942962994176,573941942962994176,573941942962994176,461601256
NGC 188 3129,303875,2004PASP..116.1012S,11.151444990750003,85.35276958086,2020yCat.1350....0G,0.5443,0.016899999231100082,2020yCat.1350....0G,-2.387,-0.98,3.0,2020yCat.1350....0G,-42.69,,2008AJ....135.2264G,Gaia EDR3 573944215002950144|TIC 461601456|2MASS J00443634+8521098|Cl* NGC  188    DGV    1432|Cl* NGC  188    PKM    4506|Cl* NGC  188    UMK      90|Cl* NGC  188    SMV    6628|NGC   188  3129|SBC9 3186|Gaia DR2 573944215002950144,573944215002950144,573944215002950144,461601456
NGC 188 3125,303874,2004PASP..116.1012S,11.31584184789,85.36917175317,2020yCat.1350....0G,0.5723,0.03060000017285347,2020yCat.1350....0G,-2.347,-1.033,3.0,2020yCat.1350....0G,-43.78,,2008AJ....135.2264G,Gaia EDR3 573944627319805696|TIC 461601471|2MASS J00451580+8522088|Cl* NGC  188    PKM    4494|Cl* NGC  188    SMV    6924|GEN# +2.01883125|NGC   188  3125|UBV M  30047|Gaia DR2 573944627319805696,573944627319805696,573944627319805696,461601471
V* V770 Cep,304170,2004PASP..116.1012S,11.327649954050003,85.31028610373,2020yCat.1350....0G,0.5719,0.03799999877810478,2020yCat.1350....0G,-2.728,-0.74,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573944008844539264|TIC 461601400|2MASS J00451868+8518369|Cl* NGC  188    PKM    5825|Cl* NGC  188    SMV    6934|NGC   188  2070|Cl* NGC  188    FTS     336|Cl* NGC  188     KS V35|V* V770 Cep|Gaia DR2 573944008844539264,573944008844539264,573944008844539264,461601400
Cl* NGC 188 DGV 1565,303250,2004PASP..116.1012S,9.64033945727,85.33526903068,2020yCat.1350....0G,0.486,0.020899999886751175,2020yCat.1350....0G,-2.434,-1.233,3.0,2020yCat.1350....0G,-42.62,,2008AJ....135.2264G,Gaia EDR3 573955141399748608|TIC 461597473|2MASS J00383375+8520069|Cl* NGC  188    DGV    1565|Cl* NGC  188    PKM    3732|Cl* NGC  188    UMK      48|Cl* NGC  188    SMV    4251|SBC9 3118|Gaia DR2 573955141399748608,573955141399748608,573955141399748608,461597473
Cl* NGC 188 WV 26,303521,2004PASP..116.1012S,10.3983957171,85.35135475778,2020yCat.1350....0G,0.6063,0.026200000196695328,2020yCat.1350....0G,-2.427,-0.953,3.0,2020yCat.1350....0G,-44.12,,2008AJ....135.2264G,Gaia EDR3 573956069112683392|TIC 461599366|2MASS J00413567+8521048|Cl* NGC  188     WV      26|Cl* NGC  188    DGV    1546|Cl* NGC  188    PKM    3953|Cl* NGC  188    SMV    5356|Gaia DR2 573956069112683392,573956069112683392,573956069112683392,461599366
Cl* NGC 188 MT 101,4924919,2004PASP..116.1012S,11.01805131391,85.2573687556,2020yCat.1350....0G,0.6422,0.07199999690055847,2020yCat.1350....0G,-2.508,-0.817,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573942015979736064|TIC 461601300|Cl* NGC  188     MT     101|Cl* NGC  188    PKM    4312|Cl* NGC  188    SMV    6363|Cl* NGC  188    FTS     461|2MASS J00440422+8515263|Gaia DR2 573942015979736064,573942015979736064,573942015979736064,461601300
NGC 188 3010,303863,2004PASP..116.1012S,10.68661201228,85.18338156664,2020yCat.1350....0G,0.5768,0.043699998408555984,2020yCat.1350....0G,-2.283,-1.093,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573935792569787904|TIC 461599192|2MASS J00424478+8511000|Cl* NGC  188    PKM    4388|Cl* NGC  188    SMV    5744|NGC   188  3010|Gaia DR2 573935792569787904,573935792569787904,573935792569787904,461599192
NGC 188 3130,304539,2004PASP..116.1012S,11.12477314917,85.34855835678,2020yCat.1350....0G,0.4977,0.0272000003606081,2020yCat.1350....0G,-2.409,-0.862,3.0,2020yCat.1350....0G,-48.17,,2008AJ....135.2264G,Gaia EDR3 573944215002952704|TIC 461601453|2MASS J00442992+8520546|Cl* NGC  188     WV      28|Cl* NGC  188    PKM    4508|Cl* NGC  188    SMV    6575|NGC   188  3130|XMMU J004430.0+852055|[G2005] 20|2XMM J004429.6+852054|Gaia DR2 573944215002952704,573944215002952704,573944215002952704,461601453
