H,H_error,J,J_error,K,K_error,source_id,twomass_id,g,g_error,r,r_error,i,i_error,z,z_error,yMeanPSFMag,yMeanPSFMagErr,panstarrs1_id,solution_id,designation,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,G,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,BP,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,RP,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,TIC,BP_error,RP_error,G_error,E(B_V),A_G,A_BP,A_RP,A_g,A_r,A_i,A_z,A_y,A_J,A_H,A_K,BP-RP,BP-RP_error,G_abs,G_abs_error,g-r,g-r_error,g_abs,g_abs_error,outlier
13.068,0.035,13.331,0.025,13.043,0.03,573738468889035264,00554280+8449242,14.8112,0.007603,14.4212,0.000296,14.2826,0.002382,14.2377,0.003663,14.224,0.001946,2.0978013928337888e+17,1636148068921376768,Gaia DR3 573738468889035264,135807148,2016.0,13.928627865464696,0.015845582,84.82338591528179,0.013835307,0.5424362175966018,0.017578328,30.858236,2.3701792,-2.2627617951851304,0.019310089,-0.7054488785040353,0.018742016,0.12844358,0.14922228,-0.19982591,-0.026838733,-0.05342249,-0.11025796,0.0051150853,-0.08865069,0.38067615,-0.018544331,315,0,313,2,1.3710426,350.26828,0.028927712,0.35032448,31,false,1.55508,,,,,,,,36,24,0.027202444,41,12,0,0.023737432,73.189575,0,0,1.0546446,0.09804817,0.17150994,0.06044702,0.14035252,-64.31867,-27.850948,0.46625388,18.651398,false,353,32019.4709652814,7.020357,4560.9463,14.423832,37,17137.48933993325,16.385565,1045.8894,14.7536745,35,21396.603400257267,17.623667,1214.0835,13.922033,1.2034582,0,0,0,0,0,0.8316412,0.32984257,0.5017986,-32.10923,6.952683,2,18,1,15,6.1150703,,,978.3071,,5500.0,3.5,-1.0,111,,,,13.553342,0.09501733,17,,NOT_AVAILABLE,123.03592010930639,21.95249951835461,78.11436136376344,64.8368678840139,false,false,0,true,true,false,false,false,true,true,false,1.0226625e-13,5.108148e-13,0.99997586,6080.534,6056.7236,6105.2295,3.8103,3.8011,3.8229,-0.5405,-0.5628,-0.5225,1853.8364,1823.5408,1873.2157,0.3367,0.3235,0.3509,0.2859,0.2745,0.2982,0.1552,0.149,0.1618,MARCS,,0.0010380985,0.00089428463,0.00023805065,0.14,0.3560453,0.46124914,0.2700941,1.526812,1.1357781,0.855414,0.672266,0.548142,0.3440318,0.203546,0.1313284,0.6404864537754058,0.00137018,2.7395300891379963,0.07036970079841302,-0.0010335445,0.0076087597,1.9561315794143321,0.07077883672677582,-1
13.205,0.035,13.496,0.029,13.163,0.03,573937617933289856,00500567+8509541,15.0007,0.003203,14.5815,0.00283,14.4477,0.002002,14.4082,0.002175,14.3894,0.002129,2.1019012523361888e+17,1636148068921376768,Gaia DR3 573937617933289856,442857150,2016.0,12.523486181466588,0.0153594455,85.16505267388946,0.014466286,0.5160892861877384,0.016434181,31.403406,2.533378,-2.323805017308775,0.0176507,-1.0089273130990297,0.017920446,-0.061231658,0.15073891,-0.2977039,0.011017126,-0.089775525,0.007098724,-0.040991608,-0.10484986,0.15176708,-0.030682564,341,0,340,1,-0.69174767,325.47122,0.0,0.0,31,false,1.5455447,,,,,,,,39,27,0.02542829,45,18,0,0.015876992,91.41365,0,0,0.9724089,0.09326417,0.04572206,0.074174725,0.08925846,-8.486326,37.76128,-57.93929,21.57745,false,375,27349.361719534707,5.9991493,4558.8735,14.594999,42,14460.596955289682,19.863369,728.00323,14.938077,38,18499.31982652952,19.10575,968.25934,14.080006,1.2051439,0,2,0,1,0,0.8580713,0.34307766,0.51499367,-44.101063,6.7152505,2,17,4,16,3.7595313,,,978.13135,,5500.0,4.0,-0.25,111,,,,13.814226,0.14624365,13,,NOT_AVAILABLE,122.90131293929333,22.293382544237673,78.7361810771835,65.08685913506558,false,false,0,true,true,false,false,false,true,true,false,1.0297042e-13,5.143322e-13,0.9999062,5794.64,5770.1685,5817.1904,3.8862,3.8728,3.8985,-0.2553,-0.2779,-0.2345,1769.3256,1728.2365,1791.0446,0.1222,0.1096,0.1346,0.1021,0.0915,0.1124,0.0546,0.0489,0.0602,PHOENIX,461618583.0,0.0014913892,0.0011213279,0.00023815889,0.13,0.33061346,0.42830274,0.25080165,1.4177539,1.054651,0.79431295,0.62424695,0.508989,0.3194581,0.18900698,0.121947795,0.6805699175796516,0.0018659094,2.828009752780454,0.06914808187017447,0.05609703,0.0042741206,2.1465702789855174,0.06922181531232545,-1
13.453,0.036,13.747,0.03,13.362,0.035,573938202048830464,00492803+8511247,15.2439,0.006207,14.8344,0.001701,14.6868,0.002866,14.6537,0.001715,14.6298,0.003723,2.102201236658891e+17,1636148068921376768,Gaia DR3 573938202048830464,264254217,2016.0,12.366700737740876,0.019166704,85.19023084886605,0.017300526,0.5007595077375835,0.019428795,25.77409,2.509505,-2.2629611160928507,0.022933656,-1.084722587990316,0.022184175,0.015996268,0.032397103,-0.34769025,-0.038806908,-0.06785811,-0.02245568,-0.16848323,-0.05585763,0.15202801,0.0973722,331,0,331,0,2.298769,401.27402,0.07562155,1.6465024,31,false,1.5453267,,,,,,,,38,26,0.033527944,45,18,0,0.022017058,83.22508,0,0,1.0903118,0.12226308,0.062082317,0.07150753,0.090634875,-7.3765664,-4.50973,-51.38792,14.774695,false,361,21757.16757080966,5.780638,3763.8003,14.843361,38,11473.944155678828,17.006199,674.6919,15.1892605,36,14741.37777690559,15.077181,977.7277,14.3265505,1.204905,0,0,0,0,0,0.86271,0.34589958,0.5168104,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.88725613112742,22.318651788470834,78.77925769049425,65.10873755476354,false,false,0,true,true,false,false,false,true,true,false,1.0264799e-13,5.127219e-13,0.999938,5716.769,5677.7236,5756.75,4.0179,3.986,4.0493,-0.3141,-0.3439,-0.2822,1526.5936,1474.6979,1583.694,0.1652,0.1414,0.1896,0.1383,0.1182,0.1589,0.0745,0.0637,0.0856,MARCS,461618621.0,0.0016092326,0.0011104689,0.00028846806,0.13,0.33061346,0.42830274,0.25080165,1.4177539,1.054651,0.79431295,0.62424695,0.508989,0.3194581,0.18900698,0.121947795,0.6852089175796507,0.0019551907,3.010893555054686,0.08425070052896458,0.04639721,0.0064358567,2.3242923833837725,0.08447854269697558,1
13.443,0.051,13.681,0.035,13.41,0.035,573938305128033920,00485459+8512366,14.8865,0.001984,14.5978,0.001319,14.51,0.001652,14.5185,0.003026,14.5152,0.006252,2.1025012227260304e+17,1636148068921376768,Gaia DR3 573938305128033920,1315389913,2016.0,12.227327792939281,0.020073216,85.21020056315065,0.01828807,0.59102127552523,0.021110827,27.996122,2.3299372,-2.138408830865944,0.024798077,-0.9251029969779193,0.023633393,0.033853743,-0.046624117,-0.24553324,-0.025390977,-0.016001776,0.009320293,0.05000603,-0.051948704,0.2054066,0.102905124,336,0,335,1,6.9504895,559.47144,0.1479524,7.7026467,31,false,1.5830772,,,,,,,,38,25,0.035717223,45,16,0,0.024213212,80.573845,0,0,1.2813056,0.1332087,0.07827749,0.06622389,0.1494167,17.713305,-14.2463,53.860016,17.790773,false,357,27562.27022296343,7.224081,3815.3323,14.586579,41,15580.522540373944,20.21223,770.84625,14.857087,38,17191.783031844156,12.873201,1335.4707,14.159594,1.1890278,0,3,0,0,0,0.69749355,0.2705078,0.42698574,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.87485340238437,22.338730744422044,78.81248022787504,65.12716015429923,false,false,0,true,true,false,false,false,true,true,false,1.0350749e-13,5.1784705e-13,0.999853,6456.51,6430.8276,6475.8384,4.2466,4.2253,4.2655,-0.079,-0.0982,-0.0627,1507.9252,1475.4729,1542.9781,0.2349,0.2203,0.245,0.2031,0.1904,0.2119,0.1094,0.1026,0.1142,MARCS,461618652.0,0.0014084991,0.0008129989,0.00028457187,0.06951128,0.17677975,0.2290144,0.13410418,0.75807613,0.5639242,0.42472085,0.33378622,0.2721575,0.17081493,0.10106245,0.06520575,0.6025827806882855,0.0016262955,3.267814827252309,0.07756385060587596,0.094548166,0.0023824393,2.9864398014992872,0.0775886988899684,-1
,,,,,,573938408207239296,,14.2119,0.003549,14.1264,0.009491,14.1809,0.003573,14.2482,0.003659,14.2655,0.002599,2.1026012083405984e+17,1636148068921376768,Gaia DR3 573938408207239296,451142942,2016.0,12.083431350371267,0.013404414,85.22419060560206,0.011774488,0.5275154429074747,0.013538112,38.965214,2.554907,-2.348518628103128,0.016759971,-1.005987366033681,0.014996667,-0.015565942,-0.06177745,-0.30586678,0.026712082,-0.07000114,0.05215436,-0.04223138,0.0010820458,0.12586688,0.045558147,334,0,332,2,0.26916265,362.73996,0.015542115,0.12825724,31,false,1.6593817,,,,,,,,38,24,0.02373621,46,17,0,0.027310222,78.77809,0,0,1.0095208,0.14716421,0.09813585,0.037428625,0.15039916,21.980341,-6.005906,43.224216,12.218142,false,378,43555.6786988256,27.750443,1569.549,14.089755,41,27986.085408146704,88.161835,317.4399,14.221187,42,23584.17960181156,65.04841,362.5635,13.816343,1.1840079,0,0,0,1,0,0.40484333,0.13143158,0.27341175,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.86206114306607,22.352861669361868,78.83239491159418,65.14357821860644,false,false,0,true,true,false,false,false,false,true,false,1.03625936e-13,5.1760636e-13,0.9998921,7201.6797,7189.3867,7214.3975,4.1392,4.106,4.1954,-1.8033,-2.0023,-1.5044,1552.0087,1432.5522,1641.6823,0.0032,0.0012,0.0069,0.0029,0.001,0.0062,0.0016,0.0005,0.0034,MARCS,,0.003420289,0.0029946098,0.00069175044,0.08552964,0.21751733,0.28178906,0.16500749,0.9327691,0.6938763,0.52259463,0.41070476,0.33487418,0.21017797,0.12435154,0.080231935,0.28806242253208225,0.004545994,2.4834135589504522,0.0557327798218369,-0.15339303,0.010132842,1.8903065278387348,0.055841379183871706,-1
12.216,0.032,12.41,0.027,12.153,0.022,573939404639640704,00522591+8515279,13.8643,0.004291,13.4814,0.004012,13.465,-999.0,13.3502,0.001531,13.3339,0.002293,2.1031013108360013e+17,1636148068921376768,Gaia DR3 573939404639640704,65868889,2016.0,13.10790862359945,0.010875556,85.25774748740893,0.010011642,0.523954960271264,0.011361084,46.118397,2.5584464,-2.1297515588459675,0.014710172,-1.417676447519859,0.0130452225,0.04644613,-0.068065315,-0.26083583,0.0511591,-0.13534923,0.04922511,0.08499095,0.10925011,0.09844684,0.06177674,332,9,331,1,1.8113582,376.47937,0.026871605,0.5992322,31,false,1.559687,,,,,,,,38,25,0.020730715,45,16,0,0.020851966,82.80905,0,0,1.0707242,,,,,,,,,false,362,75921.2016643244,14.029028,5411.722,13.486459,42,41052.5530081586,29.643682,1384.8668,13.805192,41,49761.27024605615,28.175018,1766.1487,13.005667,1.1961589,0,0,0,0,0,0.79952526,0.31873322,0.48079205,-41.731003,2.4475524,2,20,6,16,10.979785,,,886.04346,,5750.0,3.5,-0.25,111,,,,12.769029,0.052578997,14,,NOT_AVAILABLE,122.95413233515086,22.386040345025883,78.98394304400648,65.07814056077827,false,false,0,true,true,false,false,false,true,true,false,1.0262172e-13,5.1259035e-13,0.99994063,6040.6157,6026.856,6056.7837,3.8156,3.7979,3.8511,-0.0247,-0.0384,-0.0089,1685.4691,1583.634,1736.767,0.2214,0.2127,0.2311,0.1878,0.1804,0.1961,0.1009,0.0969,0.1054,MARCS,461618739.0,0.00078400044,0.0006147479,0.00020062675,0.099999994,0.25431806,0.32946366,0.19292434,1.0905799,0.81127,0.61100996,0.48018995,0.39152998,0.24573699,0.14538999,0.09380599,0.6629856748819343,0.000996279,1.8286107223596226,0.04708516043888153,0.10359037,0.005874421,1.3701896876573216,0.047279855781119845,-1
14.057,0.055,14.301,0.03,14.077,0.052,573939679517550848,00501091+8514381,15.5878,0.002226,15.2611,0.00233,15.1611,0.001463,15.155,0.003513,15.1622,0.003473,2.1029012545510352e+17,1636148068921376768,Gaia DR3 573939679517550848,241584833,2016.0,12.54542922715811,0.021105763,85.243913687464,0.020118428,0.5514437045821454,0.021718062,25.391018,2.5892258,-2.3660825208918617,0.026667312,-1.0515433878797953,0.026741898,0.040970605,-0.0781864,-0.37503883,0.014600678,-0.087104,0.03466069,-0.10189297,-0.0048558735,0.009629641,0.111791566,323,0,321,2,-1.1447325,301.11108,0.0,0.0,31,false,1.5727344,,,,,,,,37,25,0.03942517,45,17,0,0.026665438,83.47802,0,0,0.9537738,0.087710686,0.07041274,0.08704772,0.16339186,46.666237,-49.320457,59.887787,20.769608,false,365,14810.15560609107,5.6875305,2603.9695,15.260968,39,8236.794385977084,14.577961,565.0169,15.549147,38,9420.172961406566,14.456518,651.62115,14.812748,1.1922202,0,0,0,1,0,0.7363987,0.28817844,0.44822025,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.9037614230432,22.372232369490064,78.91061949740316,65.11564795387099,false,false,0,true,false,false,false,false,true,true,false,1.0371757e-13,5.1811956e-13,0.99983215,6072.808,5992.6465,6131.307,4.2991,4.2306,4.354,-0.1838,-0.2516,-0.1365,1635.6361,1576.6431,1708.5892,0.1021,0.0593,0.1352,0.0872,0.0505,0.1155,0.0469,0.0272,0.0622,MARCS,461618718.0,0.0019215995,0.0016662078,0.00041695428,0.099999994,0.25431806,0.32946366,0.19292434,1.0905799,0.81127,0.61100996,0.48018995,0.39152998,0.24573699,0.14538999,0.09380599,0.5998596748819356,0.002543382,3.714155856874935,0.08552229836830864,0.04739034,0.0032224178,3.2047260739426537,0.08555024689126892,-1
12.315,0.051,12.477,0.033,12.252,0.03,573939954395446016,00490340+8515251,13.6291,0.004411,13.3611,3.7e-05,13.428,-999.0,13.3296,0.00191,13.3381,0.003215,2.1030012264410922e+17,1636148068921376768,Gaia DR3 573939954395446016,1203289566,2016.0,12.26408119233452,0.015218757,85.2570007239099,0.014000835,0.5380171229910949,0.015645247,34.388535,2.4767654,-2.260835252931981,0.019277992,-1.0114303189719223,0.017842581,0.08484396,-0.1422797,-0.34301484,-0.021182885,-0.12844698,-0.0026448753,-0.024597192,0.047622014,0.10443895,0.102009594,328,0,326,2,11.755486,731.2433,0.1290149,14.836353,31,false,1.5944105,,,,,,,,38,24,0.027848123,45,17,0,0.023131173,77.58111,0,0,1.4969761,0.15159546,0.085917406,0.041557908,0.17181572,26.66219,-34.340473,32.39938,17.9526,false,367,85444.10088307071,24.341146,3510.2744,13.358162,43,49149.94430097988,37.165016,1322.4788,13.609735,39,51943.461454840064,26.51075,1959.3358,12.959068,1.1831526,0,0,0,0,0,0.65066624,0.2515726,0.39909363,-32.731827,4.403738,2,19,16,17,9.846573,,,791.53326,,6250.0,3.5,-0.25,111,,,,12.668532,0.028724877,3,,NOT_AVAILABLE,122.87867722638234,22.385496932759512,78.91814246570071,65.14217994737076,false,false,0,true,true,false,false,false,false,true,false,1.0366049e-13,5.177789e-13,0.9998378,,,,,,,,,,,,,,,,,,,,,,,461618738.0,0.0008209857,0.00055413484,0.00030930238,0.12,0.30518168,0.3953564,0.23150921,1.3086959,0.97352403,0.73321193,0.57622796,0.46983597,0.29488438,0.174468,0.112567194,0.4868198217792514,0.0009904964,1.7069608068374365,0.0631460008247092,-0.06717223,0.0044111554,0.9743844224723546,0.06329912062887923,-1
13.45,0.041,13.812,0.03,13.341,0.035,573940091834388224,00493703+8516387,15.2095,0.004345,14.8505,0.002086,14.7249,0.002346,14.6981,0.002724,14.6837,0.003123,2.103301240419338e+17,1636148068921376768,Gaia DR3 573940091834388224,1683169262,2016.0,12.404008912319114,0.02141369,85.27746560494747,0.019611567,0.5247030861464611,0.0216557,24.22933,2.7688828,-2.52540735099355,0.027341386,-1.1353543532934836,0.025272558,0.054857466,0.0076102642,-0.34825736,0.037770413,-0.04138254,0.053753663,0.018786935,-0.0070785508,0.06308579,0.0999552,324,0,323,1,5.16773,483.52667,0.13559015,5.3957753,31,false,1.5620515,,,,,,,,38,26,0.039357405,45,16,0,0.022346115,74.114716,0,0,1.210643,0.08970481,0.09533028,0.038240157,0.19788574,13.923078,-36.725838,37.76634,15.481869,false,362,21561.448909707025,6.2584553,3445.1711,14.853172,41,11759.10459735615,18.476902,636.4219,15.162606,37,14164.221319576425,17.56981,806.1681,14.369914,1.2022998,0,3,0,4,0,0.7926922,0.30943394,0.48325825,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.89135918367137,22.405859088160504,78.97361846877865,65.13931530624727,false,false,0,true,true,false,false,false,true,true,false,1.0233492e-13,5.1129543e-13,0.99996907,5732.064,5714.701,5755.827,3.8339,3.8232,3.8564,-0.5646,-0.5806,-0.5433,2042.0964,1983.5631,2064.3523,0.0375,0.0252,0.0517,0.0315,0.0212,0.0436,0.0171,0.0114,0.0236,MARCS,461618774.0,0.0017060007,0.0013467864,0.00031514725,0.12,0.30518168,0.3953564,0.23150921,1.3086959,0.97352403,0.73321193,0.57622796,0.46983597,0.29488438,0.174468,0.112567194,0.6288448217792517,0.002173539,3.147558410870016,0.08962219899692929,0.023828328,0.0048197946,2.5003724934238787,0.08972690933541276,-1
13.292,0.04,13.57,0.032,13.164,0.04,573940985187622016,00455704+8512231,15.1138,0.005182,14.69,0.001116,14.5336,0.000587,14.4957,0.005491,14.4676,0.001186,2.1024011487771856e+17,1636148068921376768,Gaia DR3 573940985187622016,238246553,2016.0,11.487584583920206,0.016850688,85.20647266750909,0.015870254,0.48483630914315473,0.017701708,27.38924,2.4925973,-2.2820797138094306,0.02070595,-1.0025736030415877,0.019281417,-0.019211004,0.005718735,-0.28784177,0.023256047,-0.15217075,0.07656985,0.0729206,-0.10632779,0.051282644,0.08250911,311,0,310,1,0.9246932,337.75635,0.0,0.0,31,false,1.541611,,,,,,,,36,24,0.029633362,43,16,0,0.02782791,80.42319,0,0,1.0365661,0.06795604,0.04496567,0.1585087,0.16390412,3.1734052,-11.2274475,-59.960117,18.079687,false,342,24879.42101736024,5.318983,4677.477,14.697766,38,13006.067166171864,19.566467,664.7121,15.053177,37,16917.45844035104,17.933964,943.3195,14.177057,1.2027421,0,1,0,0,0,0.8761196,0.35541058,0.52070904,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.80798966418875,22.336043198360407,78.74892546234118,65.18300933429886,false,false,0,true,true,false,false,false,true,true,false,1.02561785e-13,5.1229106e-13,0.9999466,5734.749,5643.1562,5792.799,4.0049,3.9638,4.0376,-0.1958,-0.2942,-0.1389,1491.3954,1454.1616,1534.4886,0.1967,0.143,0.2317,0.1644,0.1192,0.194,0.0884,0.0641,0.1042,MARCS,461601168.0,0.0016333932,0.001150974,0.00023212006,0.13,0.33061346,0.42830274,0.25080165,1.4177539,1.054651,0.79431295,0.62424695,0.508989,0.3194581,0.18900698,0.121947795,0.6986189175796511,0.0019981777,2.795128218221531,0.0792822917433719,0.060697556,0.005300809,2.124021796306477,0.07945112350665058,-1
