,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,G,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,BP,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,RP,phot_bp_rp_excess_factor,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,rv_method_used,rv_nb_transits,rv_nb_deblended_transits,rv_visibility_periods_used,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,rv_time_duration,rv_amplitude_robust,rv_template_teff,rv_template_logg,rv_template_fe_h,rv_atm_param_origin,vbroad,vbroad_error,vbroad_nb_transits,grvs_mag,grvs_mag_error,grvs_mag_nb_transits,rvs_spec_sig_to_noise,phot_variable_flag,l,b,ecl_lon,ecl_lat,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,azero_gspphot,azero_gspphot_lower,azero_gspphot_upper,ag_gspphot,ag_gspphot_lower,ag_gspphot_upper,ebpminrp_gspphot,ebpminrp_gspphot_lower,ebpminrp_gspphot_upper,libname_gspphot,label,BP_err,RP_err,G_err,E(B_V),A_G,A_BP,A_RP,A_g,A_r,A_i,A_z,A_y,A_J,A_H,A_K,color,color_error,mag_abs,mag_abs_error
28257,1636148068921376768,Gaia DR3 573351475155035008,573351475155035008,236544348,2016.0,13.267577587220032,0.47441128,84.45697335611695,0.48334977,0.5193503,0.50891757,1.0204998,2.8041031,-2.6680119947982748,0.59236,-0.8629636822569059,0.6904053,-0.0008361765,-0.014543578,-0.26493242,-0.10506905,0.0041521373,-0.108395495,-0.42560917,-0.17295167,0.21193494,0.00060752657,293,0,292,1,1.8882926,354.99142,1.4371663,0.94893825,95,False,,1.5343723,0.15208296,-0.0008305666,0.101126365,0.14835224,-0.13863935,0.08596995,34,22,0.9861199,40,15,1,0.013497517,117.750084,0,0,1.0787879,0.030161927,0.07966694,0.13510212,0.16394418,-59.111176,77.14988,-31.924322,30.022259,False,334,120.91734071917394,0.6505524,185.86871,20.481146,22,42.03940327161568,6.1254497,6.8630724,21.279402,31,128.98423821585854,7.4400764,17.336412,19.471554,1.4143847,0.0,0.0,0.0,0.0,0.0,1.807848,0.7982559,1.009592,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.97431206524772,21.58535771975755,77.27278929044333,64.73910074213288,False,False,0,False,False,False,False,False,False,False,False,3.52918e-10,2.1503614e-09,0.99999577,,,,,,,,,,,,,,,,,,,,,,,0,0.15819973,0.0626275,0.0058414144,0.14999999,0.3814771,0.49419543,0.2893865,1.6358699,1.216905,0.91651493,0.72028494,0.58729494,0.3686055,0.21808499,0.14070898,1.603039079378128,0.17014511,8.676970652910232,2.1278598
28274,1636148068921376768,Gaia DR3 573352398572667392,573352398572667392,1496645516,2016.0,12.993639051437151,0.10587687,84.54127504079126,0.10140328,0.5357793,0.11453808,4.6777396,4.205006,-4.068358681883511,0.13944629,-1.0632665325362674,0.13251965,-0.10169827,0.010704827,-0.1601592,-0.06649578,0.07863374,-0.07602763,-0.11792286,-0.025069438,0.22415668,-0.118482344,393,0,391,2,2.1595228,467.60144,0.31842697,0.77415204,31,False,1.41969,,,,,,,,45,27,0.20041843,50,17,0,0.029005786,91.569244,0,0,1.0778357,0.05510889,0.10766868,0.07568267,0.051202577,6.2179623,36.228863,-34.040955,43.71493,False,427,745.6408451637966,1.1952158,623.85455,18.506042,44,291.0588372102888,6.907342,42.137604,19.17859,44,650.3986687420685,9.186061,70.80278,17.714947,1.2626152,0.0,0.0,0.0,1.0,0.0,1.463644,0.6725483,0.79109573,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.94565287493936,21.66953934991971,77.42679850598225,64.79814627282308,False,False,0,False,False,False,False,False,True,False,False,6.8525206e-11,1.5237518e-11,0.9999987,4224.9526,4213.36,4243.607,4.8388,4.6493,4.9081,-1.3441,-1.5153,-1.0632,1118.085,1005.1202,1528.6139,0.0149,0.0032,0.0408,0.0112,0.0024,0.0307,0.006,0.0013,0.0165,PHOENIX,0,0.025766443,0.015334655,0.0017403675,0.11,0.2797499,0.36241,0.21221676,1.199638,0.89239705,0.672111,0.528209,0.430683,0.2703107,0.15992899,0.1031866,1.3134497557811748,0.02998435,6.871221628133775,0.46421728
28314,1636148068921376768,Gaia DR3 573354670612121088,573354670612121088,1494711348,2016.0,12.85220252621352,0.03579734,84.58345605434212,0.034286704,0.56789637,0.040473145,14.031438,1.7402177,-1.6579325077555054,0.045180272,-0.5287885026504342,0.04366805,0.0022720504,0.10811025,-0.12827025,-0.056490876,0.14924303,-0.09602229,-0.01933829,-0.036825698,0.26347262,-0.039099254,377,0,373,4,-0.24210343,376.1608,0.0,0.0,31,False,1.5192213,,,,,,,,43,26,0.06335593,50,17,0,0.017061692,82.42955,0,0,0.9901863,0.060787544,0.051237997,0.118715204,0.069960475,-36.290867,13.084094,-32.459694,31.920523,False,418,4331.16168036537,2.0773127,2084.983,16.595856,44,2159.017433936595,9.649017,223.75516,17.002901,44,3085.592297895498,13.20659,233.64035,16.02455,1.2109014,0.0,1.0,0.0,0.0,0.0,0.9783516,0.40704536,0.5713062,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.93118058060593,21.71170609613508,77.50410599996526,64.82775123484116,False,False,0,True,False,False,False,False,True,True,False,1.0220843e-13,5.105348e-13,0.99998164,5410.1685,5374.8457,5444.7163,4.6084,4.5931,4.6266,-0.7363,-0.796,-0.6855,1311.0486,1271.5338,1346.1329,0.2122,0.1884,0.2356,0.1746,0.1549,0.194,0.0944,0.0837,0.1049,MARCS,0,0.0048523406,0.0046470407,0.00052074104,0.11,0.2797499,0.36241,0.21221676,1.199638,0.89239705,0.672111,0.528209,0.430683,0.2703107,0.15992899,0.1031866,0.8281577557811737,0.0067186453,5.08745147686577,0.15475853
28351,1636148068921376768,Gaia DR3 573356251160187648,573356251160187648,1580589992,2016.0,14.60091225496048,0.043471947,84.59811941369469,0.042857483,0.53694713,0.04866158,11.034314,1.733513,-1.6531690528463416,0.05018396,-0.52163133485494,0.059417743,-0.124983594,0.11665751,-0.124358565,-0.087725274,0.04592363,-0.10107015,0.015274887,-0.061997402,0.25330466,-0.09730149,341,0,341,0,-0.17111884,345.29462,0.0,0.0,31,False,1.4878783,,,,,,,,40,25,0.083619535,49,17,0,0.025457611,89.53937,0,0,0.9924165,0.054166876,0.11458858,0.18328744,0.07417917,-43.581924,47.618816,-54.50108,-41.23738,False,373,3273.729350648825,2.002444,1634.8668,16.89976,40,1521.1018403752178,10.950299,138.9096,17.383146,37,2468.9022371963915,8.530282,289.42798,16.266636,1.2187947,0.0,1.0,0.0,2.0,0.0,1.1165104,0.483387,0.6331234,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,123.10837268971774,21.728756101289846,77.6988029760364,64.68459613466221,False,False,0,True,False,False,False,False,True,True,False,1.0210845e-13,5.1005646e-13,0.99999154,4809.673,4792.9937,4842.366,4.4031,4.3823,4.4354,-0.9833,-1.0455,-0.9264,1637.1993,1563.2145,1684.5035,0.0234,0.0064,0.0538,0.0186,0.005,0.0428,0.01,0.0027,0.023,PHOENIX,0,0.007816135,0.0037513173,0.000664113,0.14,0.3560453,0.46124914,0.2700941,1.526812,1.1357781,0.855414,0.672266,0.548142,0.3440318,0.203546,0.1313284,0.9253549537754076,0.008669738,5.19337242055893,0.1967938
28407,1636148068921376768,Gaia DR3 573358072225488640,573358072225488640,1042182307,2016.0,15.209702626943749,0.548097,84.6513328577064,0.5348334,0.48592213,0.6121296,0.7938223,3.0003912,-2.097656026446357,0.6510594,-2.145270911733336,0.9326891,-0.16361038,0.016872212,-0.13117604,-0.021918843,-0.0303999,-0.02150319,0.056172423,-0.07332468,0.23167267,-0.105149075,235,0,234,1,-1.8307531,215.71294,0.0,0.0,95,False,,1.2033364,0.17096157,0.026271567,0.12871817,0.1838819,-0.15765575,0.20823169,27,19,1.3004137,35,10,0,0.034225117,96.82584,0,0,0.91408485,0.080806285,0.10858148,0.3442839,0.040984206,-31.215874,63.11697,-51.96862,30.990437,False,281,116.69984092784657,0.7576489,154.02892,20.519691,22,43.23736342757459,8.126822,5.320328,21.248894,28,141.55089297302558,10.621964,13.326244,19.370613,1.5834491,0.0,0.0,0.0,0.0,0.0,1.8782806,0.7292023,1.1490784,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,123.16778109198933,21.783888619759843,77.86907849684054,64.65671572888022,False,False,0,False,False,False,False,False,False,False,False,2.2944953e-09,2.2575005e-08,0.9999977,,,,,,,,,,,,,,,,,,,,,,,0,0.20407318,0.08147354,0.0070489114,0.17,0.43234074,0.5600882,0.32797137,1.853986,1.3791591,1.038717,0.816323,0.665601,0.41775292,0.247163,0.1594702,1.6461641517696393,0.21973576,8.520183691993715,2.7354732
28451,1636148068921376768,Gaia DR3 573360099450875776,573360099450875776,472440035,2016.0,14.2806932903046,0.040847063,84.78120673056462,0.03995852,0.4830863,0.04753565,10.16261,1.9786699,0.5386108040468149,0.050524604,-1.903951973716488,0.056799415,-0.017214116,0.18377134,-0.10491512,0.011551077,0.08563305,-0.06118594,0.06226936,-0.1383846,0.3026521,-0.13212585,355,0,353,2,0.62458336,379.8231,0.13924658,1.002647,31,False,1.4973046,,,,,,,,40,26,0.08150275,47,14,0,0.021410726,85.429146,1,0,1.0228027,0.11212684,0.03739738,0.10160848,0.12049368,-91.54355,54.97186,-16.004187,26.437405,False,395,3763.961989183964,1.9748863,1905.9132,16.748253,43,1799.7289074869018,10.900275,165.10858,17.200525,43,2810.5561667108245,10.554612,266.28702,16.125916,1.224849,0.0,1.0,0.0,2.0,0.0,1.0746098,0.45227242,0.62233734,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,123.07124341113864,21.91099465295881,78.05615197760672,64.79014874800708,False,False,0,True,False,False,False,False,True,True,False,1.02140844e-13,5.102121e-13,0.9999883,5273.6577,5164.034,5423.0146,4.6385,4.5822,4.6789,-0.6201,-0.7769,-0.4511,1259.0475,1157.8251,1415.7029,0.3153,0.2303,0.4137,0.2552,0.1858,0.3362,0.1369,0.0996,0.1802,PHOENIX,0,0.006575892,0.0040773153,0.0005696672,0.14,0.3560453,0.46124914,0.2700941,1.526812,1.1357781,0.855414,0.672266,0.548142,0.3440318,0.203546,0.1313284,0.8834539537754047,0.007737368,4.812331271389006,0.21367346
28461,1636148068921376768,Gaia DR3 573360408685999872,573360408685999872,273286405,2016.0,13.266113492589826,0.29853925,84.64791135248184,0.26349765,0.51833457,0.31914353,1.6241425,2.4307659,-2.2266907676794605,0.36236218,-0.9749211275443876,0.35473922,-0.068937026,0.1365309,-0.18537255,-0.022233889,0.06139825,-0.07882541,-0.15073787,-0.06677277,0.2937898,-0.12766926,342,0,341,1,1.097807,385.988,0.748399,0.64493155,95,False,,1.2935534,0.086761676,-0.011106829,0.08582251,0.042449094,-0.24898165,0.0937267,39,25,0.531591,47,17,1,0.03082649,106.408226,0,0,1.0417016,0.097216085,0.1404608,0.04753721,0.055979002,-87.242294,27.368242,-12.540416,-1.0671902,False,373,213.07038044427367,0.7504486,283.924,19.866058,32,57.72277966696481,5.7629824,10.0161295,20.935175,41,242.2704469989104,7.9058113,30.644602,18.787144,1.4079537,0.0,0.0,0.0,0.0,0.0,2.1480312,1.0691166,1.0789146,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.97276334603762,21.77629034294939,77.67979323783489,64.81897591045374,False,False,0,False,False,False,False,False,False,False,False,1.5784077e-13,1.6446895e-10,0.99999017,,,,,,,,,,,,,,,,,,,,,,,0,0.10839878,0.035429932,0.0038240382,0.14,0.3560453,0.46124914,0.2700941,1.526812,1.1357781,0.855414,0.672266,0.548142,0.3440318,0.203546,0.1313284,1.9568759537754055,0.11404199,8.083063431652068,1.3370016
28483,1636148068921376768,Gaia DR3 573361954876641920,573361954876641920,799541616,2016.0,13.11561318093232,0.0091622,84.74542956504789,0.00843069,0.4805984,0.01027859,46.75723,2.57527,-2.5747657775992687,0.010580193,0.0509504379066785,0.0106781125,-0.046524093,0.2600109,-0.069180034,0.06909152,0.09640712,-0.010100055,-0.03250865,-0.17214663,0.2398934,-0.098375104,332,332,329,3,0.524166,475.62094,0.04698691,2.8823884,31,True,1.4389817,,,,,,,,38,25,0.015615805,44,15,0,0.015007416,67.1086,0,0,1.019626,,,,,,,,,False,356,212872.08043938992,33.593243,6336.753,12.36707,40,86940.91415903237,42.76051,2033.2058,12.990481,36,179646.8316281818,52.91291,3395.1418,11.611847,1.2523378,0.0,0.0,0.0,0.0,0.0,1.3786345,0.6234112,0.7552233,-40.490414,0.3996927,1.0,22.0,1.0,18.0,38.57062,-1.4564618,0.8812961,978.3071,4.9308586,5000.0,0.5,-0.5,111.0,,,,11.302043,0.014966854,21.0,39.325966,NOT_AVAILABLE,122.95719660317572,21.873729847535085,77.87533632649982,64.87184089946106,False,False,0,True,True,True,False,False,True,True,False,1.020419e-13,5.096942e-13,0.9999981,4928.6777,4923.7476,4933.502,2.6443,2.626,2.6595,0.0067,0.0044,0.0101,1965.3865,1930.4205,2007.6661,0.6885,0.6847,0.6925,0.5349,0.5318,0.538,0.2816,0.28,0.2833,MARCS,0,0.00053400215,0.0003197911,0.00017133952,0.17999999,0.45777252,0.59303457,0.3472638,1.9630439,1.460286,1.0998179,0.864342,0.70475394,0.44232658,0.26170197,0.1688508,1.1328632475700395,0.0006224344,0.3182089434337616,0.04644174
32444,1636148068921376768,Gaia DR3 573517845010846464,573517845010846464,1207269194,2016.0,10.619547152616477,0.08052985,84.53802534448418,0.08709923,0.5095532,0.095187396,5.3531585,3.3171165,-3.204296243943728,0.098160714,-0.8577573722543634,0.118780755,0.01576459,0.17446133,-0.1914653,-0.027481558,0.09085612,-0.086455785,-0.029079275,-0.15967476,0.25227395,-0.07826195,338,0,334,4,-0.65223646,325.6235,0.0,0.0,31,False,1.4568124,,,,,,,,39,25,0.16637978,44,16,0,0.005453906,78.0446,1,0,0.97367686,0.15074469,0.12180099,0.05986996,0.1117295,-134.49142,-84.90313,-30.07032,26.84893,False,362,1154.29339392581,1.2466317,925.92975,18.031576,36,496.2817505798145,7.8438697,63.270016,18.599222,36,895.9129149062794,6.5276504,137.24892,17.367231,1.2061012,0.0,0.0,0.0,1.0,0.0,1.2319908,0.567646,0.6643448,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.7025549305322,21.67026597934259,77.2084617355127,65.00420920549674,False,False,0,False,False,False,False,False,True,True,False,1.0222799e-13,7.092186e-13,0.9999815,4592.653,4569.395,4637.1606,4.7613,4.7109,4.7977,-0.9509,-1.1113,-0.6931,1411.8324,1333.3171,1557.5798,0.0351,0.0082,0.0831,0.0273,0.0064,0.0649,0.0145,0.0034,0.0346,PHOENIX,0,0.01716036,0.007910709,0.0011725903,0.08,0.20345445,0.26357093,0.15433946,0.87246394,0.649016,0.48880798,0.384152,0.313224,0.1965896,0.116312,0.075044796,1.1227595279846199,0.01889596,6.364069230700494,0.4056449
32474,1636148068921376768,Gaia DR3 573516878640467072,573516878640467072,724796008,2016.0,11.715332320919533,0.103733,84.48573810410306,0.120361835,0.50393695,0.12771705,3.9457297,1.88955,-1.8040522647185964,0.12875646,-0.5619559646752086,0.16471621,-0.0015546132,0.0932199,-0.16924317,-0.12882479,0.2592466,-0.17150004,0.04217612,-0.1154189,0.28272256,-0.053778704,374,0,374,0,-0.1836575,378.83853,0.0,0.0,31,False,1.4827127,,,,,,,,44,25,0.23041904,51,18,0,0.007746756,82.7778,0,0,0.9923459,0.06646256,0.118275024,0.092193104,0.16277042,-94.47768,83.584274,-47.83113,33.10869,False,420,713.6115224061879,1.0799109,660.80597,18.553713,44,313.9031039562161,10.223346,30.704538,19.096554,44,515.0602837375894,12.694811,40.572506,17.96825,1.1616452,0.0,1.0,0.0,2.0,0.0,1.1283035,0.54284096,0.58546257,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,122.81366643967904,21.61503895335761,77.19077354536374,64.8873317436405,False,False,0,False,False,False,False,False,True,False,False,7.4365875e-11,3.4105939e-12,0.99999434,4759.2695,4747.12,4772.629,4.8242,4.8053,4.8429,-1.3661,-1.4638,-1.2565,1821.7969,1773.841,1861.1622,0.0078,0.0018,0.0179,0.0062,0.0014,0.0142,0.0033,0.0007,0.0077,PHOENIX,0,0.035360772,0.026760394,0.0016430484,0.13,0.33061346,0.42830274,0.25080165,1.4177539,1.054651,0.79431295,0.62424695,0.508989,0.3194581,0.18900698,0.121947795,0.9508029175796509,0.04434527,6.734980410516737,0.5503372
