,obj_id,oid,link_bibcode,ra,dec,coo_bibcode,parallax,parallax_err,parallax_bibcode,pmra,pmdec,pm_err,pm_bibcode,radvel,radvel_err,rvz_bibcode,ids,EDR3 id,DR2 id,TIC,reported
3,NGC 188 1152,303904,2004PASP..116.1012S,11.16414545267,85.24285002098,2020yCat.1350....0G,0.6603,0.0852999985218048,2020yCat.1350....0G,-2.111,-1.057,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941942962994176|TIC 461601256|2MASS J00443925+8514339|Cl* NGC  188    PKM    4650|Cl* NGC  188    SMV    6622|NGC   188  1152|Cl* NGC  188    FTS     495|Gaia DR2 573941942962994176,573941942962994176,5.739419429629942e+17,461601256.0,3
9,Cl* NGC 188 MT 101,4924919,2004PASP..116.1012S,11.01805131391,85.2573687556,2020yCat.1350....0G,0.6422,0.0719999969005584,2020yCat.1350....0G,-2.508,-0.817,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573942015979736064|TIC 461601300|Cl* NGC  188     MT     101|Cl* NGC  188    PKM    4312|Cl* NGC  188    SMV    6363|Cl* NGC  188    FTS     461|2MASS J00440422+8515263|Gaia DR2 573942015979736064,573942015979736064,5.7394201597973606e+17,461601300.0,6
23,Cl* NGC 188 PKM 3935,4924364,2004PASP..116.1012S,10.26963680963,85.37298858821,2020yCat.1350....0G,0.6464,0.0306000001728534,2020yCat.1350....0G,-2.27,-0.616,3.0,2020yCat.1350....0G,-43.44,,2008AJ....135.2264G,Gaia EDR3 573956172191890176|TIC 461599383|Cl* NGC  188    PKM    3935|Cl* NGC  188    SMV    5172|2MASS J00410481+8522226|Gaia DR2 573956172191890176,573956172191890176,5.739561721918902e+17,461599383.0,6
29,Cl* NGC 188 MT 93,4924978,2004PASP..116.1012S,11.103153127549998,85.22705614037,2020yCat.1350....0G,0.3893,0.0698999986052513,2020yCat.1350....0G,-2.48,-1.216,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941809821326848|Cl* NGC  188     MT      93|Cl* NGC  188      E   II-23|Cl* NGC  188    PKM    4686|Cl* NGC  188    SMV    6497|Cl* NGC  188    FTS     439|Gaia DR2 573941809821326848,573941809821326848,5.7394180982132685e+17,,3
65,NGC 188 2211,303928,2004PASP..116.1012S,11.502496764280002,85.19529993685,2020yCat.1350....0G,0.3987,0.0557000003755092,2020yCat.1350....0G,-2.291,-1.002,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573940985187628800|TIC 461601145|2MASS J00460053+8511429|Cl* NGC  188    PKM    4725|Cl* NGC  188    SMV    7246|GEN# +2.01882211|NGC   188  2211|UBV M  30026|Cl* NGC  188    FTS     420|Gaia DR2 573940985187628800,573940985187628800,5.739409851876288e+17,461601145.0,6
112,NGC 188 1179,303915,2004PASP..116.1012S,11.56623687416,85.22625669214,2020yCat.1350....0G,0.3995,0.0885000005364418,2020yCat.1350....0G,-2.198,-1.026,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941118330648960|TIC 461601203|2MASS J00461601+8513349|Cl* NGC  188    PKM    4687|Cl* NGC  188    SMV    7362|GEN# +2.01881179|NGC   188  1179|UBV M  29998|Cl* NGC  188    FTS     515|Gaia DR2 573941118330648960,573941118330648960,5.7394111833064896e+17,461601203.0,3
127,Gaia EDR3 573765235125276928,14748483,2020A&A...640A...1C,18.23117950614,85.22432548567,2020yCat.1350....0G,0.625,0.0724000036716461,2020yCat.1350....0G,-2.447,-0.759,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573765235125276928|Gaia DR2 573765235125276928,573765235125276928,5.737652351252769e+17,,4
181,NGC 188 1169,303924,2004PASP..116.1012S,11.486859740630004,85.20430991908,2020yCat.1350....0G,0.4151,0.0681999996304512,2020yCat.1350....0G,-2.336,-1.042,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573940980891687808|TIC 461601159|2MASS J00455691+8512154|Cl* NGC  188    PKM    4715|Cl* NGC  188    SMV    7214|GEN# +2.01881169|NGC   188  1169|UBV M  29988|Cl* NGC  188    FTS     328|Gaia DR2 573940980891687808,573940980891687808,5.739409808916878e+17,461601159.0,3
186,NGC 188 1171,303989,2004PASP..116.1012S,11.67291312473,85.26378646967,2020yCat.1350....0G,0.6665,0.1009000018239021,2020yCat.1350....0G,-2.171,-0.932,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941668085111296|TIC 461601316|2MASS J00464139+8515494|Cl* NGC  188    PKM    4994|Cl* NGC  188    SMV    7583|GEN# +2.01881171|NGC   188  1171|UBV M  29990|Cl* NGC  188    FTS     532|Gaia DR2 573941668085111296,573941668085111296,5.739416680851113e+17,461601316.0,3
206,Cl* NGC 188 MT 111,4925347,2004PASP..116.1012S,11.56167125411,85.32801355486,2020yCat.1350....0G,0.6844,0.0559000000357627,2020yCat.1350....0G,-2.348,-1.057,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573943386072092544|TIC 461601425|Cl* NGC  188     MT     111|Cl* NGC  188    PKM    4536|Cl* NGC  188    SMV    7365|Cl* NGC  188    FTS     155|2MASS J00461487+8519407|Gaia DR2 573943386072092544,573943386072092544,5.7394338607209254e+17,461601425.0,3
209,Cl* NGC 188 PKM 4864,4925632,2004PASP..116.1012S,11.9412504882,85.37596591791,2020yCat.1350....0G,0.4068,0.0394000001251697,2020yCat.1350....0G,-1.459,-1.144,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573967339106868224|TIC 461601476|Cl* NGC  188    PKM    4864|Cl* NGC  188    SMV    8137|2MASS J00474585+8522334|Gaia DR2 573967339106868224,573967339106868224,5.739673391068682e+17,461601476.0,2
262,NGC 188 1083,304006,2004PASP..116.1012S,11.88659990924,85.24484887993,2020yCat.1350....0G,0.4076,0.0412999987602233,2020yCat.1350....0G,-2.004,-1.137,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573941431864200320|TIC 461601264|2MASS J00473285+8514412|Cl* NGC  188    PKM    5039|Cl* NGC  188    SMV    8030|GEN# +2.01881083|NGC   188  1083|UBV M  29952|Cl* NGC  188    FTS     358|Gaia DR2 573941431864200320,573941431864200320,5.739414318642003e+17,461601264.0,6
275,Cl* NGC 188 PKM 4389,4924562,2020A&A...640A...1C,10.58180626081,85.18218670797,2020yCat.1350....0G,0.3998,0.0716999992728233,2020yCat.1350....0G,-2.327,-0.972,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573935620771094912|TIC 461599190|Cl* NGC  188    PKM    4389|Cl* NGC  188    SMV    5585|2MASS J00421962+8510556|Gaia DR2 573935620771094912,573935620771094912,5.739356207710949e+17,461599190.0,4
564,NGC 188 2072,303184,2020A&A...640A...1C,11.46322079703,85.30232149161,2020yCat.1350....0G,0.6671,0.0104000000283122,2020yCat.1350....0G,-2.393,-1.191,3.0,2020yCat.1350....0G,-37.96,2.380000114440918,2018yCat.1345....0G,Gaia EDR3 573943252930299392|TIC 461601387|Cl* NGC  188    SMV    7183|2MASS J00455119+8518082|Cl* NGC  188    DGV    1353|Cl* NGC  188    PKM    4565|Cl* NGC  188    UMK     111|GEN# +2.01882072|NGC   188  2072|UBV M  30011|Cl* NGC  188    FTS       7|SBC9 3132|Gaia DR2 573943252930299392,573943252930299392,5.739432529302994e+17,461601387.0,8
579,Cl* NGC 188 MT 109,4925165,2020A&A...640A...1C,11.322408320889998,85.31861538207,2020yCat.1350....0G,0.6573,0.0772000029683113,2020yCat.1350....0G,-2.217,-1.142,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573944004547368704|TIC 461601413|Cl* NGC  188     MT     109|Cl* NGC  188    PKM    4545|Cl* NGC  188    SMV    6926|Cl* NGC  188    FTS     476|2MASS J00451735+8519066|Gaia DR2 573944004547368704,573944004547368704,5.739440045473687e+17,461601413.0,4
636,Cl* NGC 188 PKM 4761,4925046,2004PASP..116.1012S,11.181531312900002,85.15532719415,2020yCat.1350....0G,0.3743,0.0782999992370605,2020yCat.1350....0G,-2.311,-1.013,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573934972233505536|TIC 461601085|Cl* NGC  188    PKM    4761|Cl* NGC  188    SMV    6630|Cl* NGC  188    FTS     470|2MASS J00444355+8509190|Gaia DR2 573934972233505536,573934972233505536,5.7393497223350554e+17,461601085.0,3
641,Cl* NGC 188 PKM 5734,4926495,2004PASP..116.1012S,13.068765650559998,85.2036168158,2020yCat.1350....0G,0.6529,0.0829999968409538,2020yCat.1350....0G,-2.443,-0.698,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573938850587917440|TIC 461618643|Cl* NGC  188    PKM    5734|Cl* NGC  188    SMV   10231|Cl* NGC  188    FTS     492|2MASS J00521653+8512127|Gaia DR2 573938850587917440,573938850587917440,5.7393885058791744e+17,461618643.0,2
648,NGC 188 2143,304101,2004PASP..116.1012S,12.5437090502,85.22620061222,2020yCat.1350....0G,0.6403,0.0443000011146068,2020yCat.1350....0G,-2.342,-1.047,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573939645157822592|TIC 461618680|Cl* NGC  188    SMV    9296|2MASS J00501052+8513341|Cl* NGC  188    PKM    5409|NGC   188  2143|Cl* NGC  188    FTS     362|Gaia DR2 573939645157822592,573939645157822592,5.739396451578226e+17,461618680.0,2
662,Cl* NGC 188 PKM 5678,4926393,2004PASP..116.1012S,12.957757485769998,85.24942700669,2020yCat.1350....0G,0.6655,0.0802000015974044,2020yCat.1350....0G,-2.187,-1.013,3.0,2020yCat.1350....0G,,,,Gaia EDR3 573940121898256384|TIC 461618727|Cl* NGC  188    PKM    5678|Cl* NGC  188    SMV   10025|Cl* NGC  188    FTS     490|2MASS J00514983+8514577|Gaia DR2 573940121898256384,573940121898256384,5.739401218982564e+17,461618727.0,3
666,Cl* NGC 188 DGV 1406,303206,2004PASP..116.1012S,12.83701116502,85.37819330801,2020yCat.1350....0G,0.3664,0.017400000244379,2020yCat.1350....0G,-2.263,-1.04,3.0,2020yCat.1350....0G,-42.22,,2008AJ....135.2264G,Gaia EDR3 573964624687540608|TIC 461618866|2MASS J00512088+8522414|Cl* NGC  188    DGV    1406|Cl* NGC  188    PKM    5242|Cl* NGC  188    SMV    9779|SBC9 3154|Gaia DR2 573964624687540608,573964624687540608,5.739646246875406e+17,461618866.0,3
683,Cl* NGC 188 SMV 11669,303645,2004PASP..116.1012S,14.48172776005,85.56276174056,2020yCat.1350....0G,0.6754,0.0249000005424022,2020yCat.1350....0G,-3.222,-1.149,3.0,2020yCat.1350....0G,-30.19,,2008AJ....135.2264G,Gaia EDR3 573973867457315712|TIC 461626012|Cl* NGC  188    SMV   11669|2MASS J00575557+8533459|Cl* NGC  188    DGV    1760|Cl* NGC  188    PKM    1988|Gaia DR2 573973867457315712,573973867457315712,5.739738674573157e+17,461626012.0,3
697,NGC 188 1050,303045,2003AJ....126.2922P,11.330261801509998,85.25809693924,2020yCat.1350....0G,0.7095,0.0122999995946884,2020yCat.1350....0G,-2.347,-1.872,3.0,2020yCat.1350....0G,-26.05,,2008AJ....135.2264G,Gaia EDR3 573941603662878208|TIC 461601301|2MASS J00451929+8515290|Cl* NGC  188    DGV     490|Cl* NGC  188    PKM    4626|Cl* NGC  188    UMK      98|Cl* NGC  188    SMV    6932|GEN# +2.01881050|NGC   188  1050|UBV M  29934|Cl* NGC  188    FTS      31|Gaia DR2 573941603662878208,573941603662878208,5.739416036628782e+17,461601301.0,1
